word	hiragana	furigana	JLPT	kaishi	english	RIRIKKU_RANK	RIRIKKU_TIER
かず	かず	-	-1	1	-	93	B
け	け	-	-1	0	-	93	B
はなし	はなし	-	-1	1	-	93	B
タケシ	タケシ	-	-1	0	-	93	F
数	かず	数[かず]	3	1	number numerical quantity	93	B
泣く	なく	泣[な]く	4	1	[vi] cry, weep, sob; [vt] grieve over	93	B
おい	おい	-	-1	0	-	94	B
して	して	-	-1	0	-	94	B
仕手	して	仕手[して]	-1	0	doer; protagonist noh drama	94	B
猛	もう	-	-1	0	-	94	F
賞	しょう	賞[しょう]	3	0	prize, award	94	C
かんじ	かんじ	-	-1	1	-	95	B
ぐん	ぐん	-	-1	1	-	95	B
みんな	みんな	みんな	5	1	everyone, everybody, all	95	B
本	ほん	本[ほん]	5	1	book	95	B
軍	ぐん	軍[ぐん]	3	1	military, troops	95	B
あれ	あれ	あれ	-1	1	that (distant)	96	B
アール	アール	-	-1	0	-	96	F
其処	そこ	-	5	0	there; There (Close By)	96	B
型	かた	型[かた]	3	1	model, pattern, mould, type	96	C
荒れ	あれ	-	-1	0	-	96	B
音	おと	音[おと]	4	1	sound	96	B
どこ	どこ	どこ	-1	1	where	97	B
ー	ー	-	-1	0	-	97	B
代	だい	-	1	0	-	97	B
何処	どこ	何処[どこ]	5	0	where	97	B
州	しゅう	州[しゅう]	3	0	state	97	B
えーと	えーと	-	-1	0	-	98	B
ぜ	ぜ	-	-1	0	-	98	B
内	ない	内[うち]	3	0	inside; within	98	B
分	ぶん	分[ふん]	3	1	minutes	98	B
おいしい	おいしい	-	5	1	-	100	B
きょう	きょう	-	-1	1	-	100	B
なぜ	なぜ	なぜ	-1	1	why (formal)	100	B
何故	なぜ	-	5	0	why (formal)	100	B
入る	はいる	入[はい]る	5	1	to enter	100	B
美味しい	おいしい	美味[おい]しい	1	1	delicious, good	100	B
かのじょ	かのじょ	-	-1	1	-	101	B
せんぱい	せんぱい	-	-1	1	-	101	B
元	もと	元[もと]	3	1	former, ex-	101	B
先輩	せんぱい	先輩[せんぱい]	4	1	senior, elder	101	B
彼女	かのじょ	彼女[かのじょ]	4	1	she; girlfriend	101	B
おと	おと	-	-1	1	-	102	B
ほら	ほら	-	-1	0	-	102	B
先生	せんせい	先生[せんせい]	5	1	teacher	102	B
於く	おく	-	-1	0	-	102	B
登場	とうじょう	登[とう] 場[じょう]	2	0	する：to appear (on stage, in the marketplace, etc.)	102	B
えん	えん	-	-1	0	-	103	B
せんせい	せんせい	-	-1	1	-	103	B
そこ	そこ	そこ	-1	1	there (a little distant)	103	B
五十	ごじゅう	-	-1	0	-	103	F
円	えん	円[えん]	3	0	yen	103	B
かな	かな	-	-1	0	-	104	F
しゃ	しゃ	-	-1	0	-	104	B
はいる	はいる	-	-1	1	-	104	B
何て	なんて	-	1	0	-	104	B
利用	りよう	利[り] 用[よう]	4	1	する：to use, to utilise	104	B
哉	かな	-	1	0	-	104	F
皆	みんな	皆[みんな]	4	0	everyone	104	B
社	しゃ	社[やしろ]	1	0	Shinto shrine「歴」	104	B
サイト	サイト	-	-1	0	-	105	B
今回	こんかい	今回[こんかい]	3	1	this time; lately	105	B
局	きょく	-	3	0	-	105	B
選手	せんしゅ	選手[せんしゅ]	3	0	player, representative athlete	106	B
項目	こうもく	項目[こうもく]	2	0	clause, item, provision	106	C
いつ	いつ	いつ	-1	1	when	107	B
たぶん	たぶん	-	-1	1	-	107	B
何時	なんじ	何[なん] 時[じ]	5	0	what time	107	B
出演	しゅつえん	出[しゅつ] 演[えん]	1	0	する：to appear (in a movie, play, etc.)	107	C
取る	とる	取[と]る	5	1	[vt] take; get	107	B
多分	たぶん	多分[たぶん]	5	1	probably, perhaps, maybe	107	B
やつ	やつ	-	-1	1	-	108	B
奴	やつ	奴[やつ]	1	1	guy [slang]	108	B
帰る	かえる	帰[かえ]る	5	1	[vi] come back / home, return to one's original position	108	B
平成	へいせい	-	-1	0	-	108	B
地	ち	-	3	1	ground, place	109	B
御座る	ござる	-	-1	0	-	109	B
是	ぜ	是[これ]	-1	0	this [pronoun]	109	F
車	くるま	車[くるま]	5	1	car	109	B
うち	うち	-	-1	1	one's household	110	B
まん	まん	-	-1	1	-	110	B
万	まん	万[まん]	5	1	ten thousand	110	B
おとこ	おとこ	-	-1	1	-	111	B
しかし	しかし	しかし	5	0	however	111	B
せい	せい	せい	-1	1	reason, cause	111	B
だいじょうぶ	だいじょうぶ	-	-1	1	-	111	B
ひとつ	ひとつ	-	-1	1	-	111	B
一つ	ひとつ	一[ひと]つ	5	1	one (of something)	111	B
男	おとこ	男[おとこ]	5	1	man	111	B
道	みち	道[みち]	5	1	road, way, path	111	B
しょうかい	しょうかい	-	-1	1	-	112	B
九百	きゅうひゃく	-	-1	0	-	112	B
曲	きょく	曲[きょく]	1	0	music, a tune	112	B
研究	けんきゅう	研究[けんきゅう]	4	1	research, study	112	B
紹介	しょうかい	紹介[しょうかい]	4	1	introduction	112	B
ありがとう	ありがとう	ありがとう	3	0	thank you (informal)	113	B
しよう	しよう	-	-1	1	-	113	C
使用	しよう	使[し] 用[よう]	3	1	する：to use, to make use of	113	B
有難う	ありがとう	-	1	0	-	113	F
くれ	くれ	-	-1	0	-	114	U
ほど	ほど	ほど	-1	0	degree, extent	114	B
動画	どうが	-	-1	0	-	114	C
早い	はやい	早[はや]い	5	1	early	114	B
けっこう	けっこう	-	-1	1	-	115	B
作る	つくる	作[つく]る	5	1	[vt] make, create; grow	115	B
結構	けっこう	結構[けっこう]	5	1	sufficient, quite, ok	115	B
かのう	かのう	-	-1	1	-	116	B
ひゃく	ひゃく	-	-1	0	-	116	B
会う	あう	会[あ]う	5	1	[vi] meet, encounter	116	B
出	で	-	-1	0	-	116	F
可能	かのう	可能[かのう]	3	1	possible, feasible	116	B
百	ひゃく	百[ひゃく]	5	0	one hundred	116	B
笑い	わらい	笑[わら]い	3	1	laughter, a smile	116	C
ぜんぜん	ぜんぜん	-	-1	1	-	117	B
め	め	-	-1	1	-	117	B
全然	ぜんぜん	全然[ぜんぜん]	3	1	wholly, totally, completely; not at all	117	B
多く	おおく	-	-1	1	many, much	117	B
